#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 10 11 MPI_Sendrecv 4 7 1.5644e-02 1.0967e-05 1.5504e-02
ipm_noregion 10 9 MPI_Sendrecv 4 7 3.8297e-01 3.0994e-06 1.4654e-01
ipm_noregion 8 7 MPI_Sendrecv 4 7 1.6420e-01 4.0531e-06 1.0895e-01
ipm_noregion 8 9 MPI_Sendrecv 4 7 9.1938e-01 2.4080e-05 4.3130e-01
ipm_noregion 11 10 MPI_Sendrecv 4 7 1.6051e+00 4.1008e-05 5.2087e-01
ipm_noregion 7 8 MPI_Sendrecv 4 7 1.1946e+00 2.1935e-05 6.2024e-01
ipm_noregion 7 6 MPI_Sendrecv 4 7 3.2187e-01 4.0531e-06 2.2695e-01
ipm_noregion 3 4 MPI_Sendrecv 4 7 4.6802e-01 1.9073e-06 2.7137e-01
ipm_noregion 3 2 MPI_Sendrecv 4 7 4.9452e-01 8.1062e-06 1.8431e-01
ipm_noregion 9 8 MPI_Sendrecv 4 7 3.5555e-01 1.0014e-05 1.7974e-01
ipm_noregion 9 10 MPI_Sendrecv 4 7 6.4713e-01 2.7895e-05 3.6478e-01
ipm_noregion 2 3 MPI_Sendrecv 4 7 5.1114e-01 1.0967e-05 4.2084e-01
ipm_noregion 2 1 MPI_Sendrecv 4 7 4.3181e-01 2.0981e-05 1.8429e-01
ipm_noregion 0 1 MPI_Sendrecv 4 7 1.4605e+00 1.7166e-05 5.4640e-01
ipm_noregion 5 4 MPI_Sendrecv 4 7 1.8095e-01 5.0068e-06 1.8080e-01
ipm_noregion 5 6 MPI_Sendrecv 4 7 7.4084e-01 0.0000e+00 5.4077e-01
ipm_noregion 4 5 MPI_Sendrecv 4 7 9.0508e-01 0.0000e+00 5.1247e-01
ipm_noregion 4 3 MPI_Sendrecv 4 7 4.9844e-01 6.9141e-06 1.8432e-01
ipm_noregion 1 0 MPI_Sendrecv 4 7 7.0777e-02 1.0014e-05 7.0621e-02
ipm_noregion 1 2 MPI_Sendrecv 4 7 1.4121e-01 5.0068e-06 1.2515e-01
ipm_noregion 6 7 MPI_Sendrecv 4 7 8.4266e-01 5.0068e-06 5.8255e-01
ipm_noregion 6 5 MPI_Sendrecv 4 7 2.8334e-01 4.0531e-06 1.7175e-01
ipm_noregion 6 7 MPI_Sendrecv 167772160 4 6.1752e-01 9.4761e-02 2.0453e-01
ipm_noregion 6 5 MPI_Sendrecv 167772160 4 9.1109e-01 1.0903e-01 3.5105e-01
ipm_noregion 1 0 MPI_Sendrecv 167772160 6 1.1546e+00 7.0173e-02 3.2097e-01
ipm_noregion 1 2 MPI_Sendrecv 167772160 5 6.0067e-01 6.0236e-02 1.7845e-01
ipm_noregion 8 7 MPI_Sendrecv 167772160 4 6.7601e-01 1.1931e-01 3.0230e-01
ipm_noregion 8 9 MPI_Sendrecv 167772160 5 9.2311e-01 1.1437e-01 3.4229e-01
ipm_noregion 10 11 MPI_Sendrecv 167772160 6 1.1524e+00 6.6115e-02 3.6813e-01
ipm_noregion 10 9 MPI_Sendrecv 167772160 5 6.6252e-01 6.4692e-02 3.0360e-01
ipm_noregion 11 10 MPI_Sendrecv 167772160 6 1.1523e+00 6.6114e-02 3.6810e-01
ipm_noregion 9 8 MPI_Sendrecv 167772160 5 9.2314e-01 1.1437e-01 3.4227e-01
ipm_noregion 9 10 MPI_Sendrecv 167772160 5 6.6250e-01 6.4682e-02 3.0360e-01
ipm_noregion 3 4 MPI_Sendrecv 167772160 4 6.6117e-01 1.0210e-01 2.9010e-01
