#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 6 0 MPI_File_read_at 178956628 1 1.6541e-01 1.6541e-01 1.6541e-01
ipm_noregion 9 0 MPI_File_read_at 178956628 1 1.6667e-01 1.6667e-01 1.6667e-01
ipm_noregion 5 0 MPI_File_read_at 178956628 1 1.6675e-01 1.6675e-01 1.6675e-01
ipm_noregion 8 0 MPI_File_read_at 178956628 1 1.6619e-01 1.6619e-01 1.6619e-01
ipm_noregion 11 0 MPI_File_read_at 178956628 1 1.6672e-01 1.6672e-01 1.6672e-01
ipm_noregion 10 0 MPI_File_read_at 178956628 1 1.6491e-01 1.6491e-01 1.6491e-01
ipm_noregion 7 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 8 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 9 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 10 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 4 0 MPI_Comm_rank 0 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 0 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 1 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 2 0 MPI_Comm_rank 0 1 8.1062e-06 8.1062e-06 8.1062e-06
ipm_noregion 5 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 8 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 3 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 6 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 9 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 11 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 10 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 8 0 MPI_File_open 0 2 3.7210e-01 7.4110e-02 2.9799e-01
ipm_noregion 5 0 MPI_File_open 0 2 5.4992e-01 2.5192e-01 2.9800e-01
ipm_noregion 3 0 MPI_File_open 0 2 4.0065e-01 1.0266e-01 2.9798e-01
ipm_noregion 6 0 MPI_File_open 0 2 5.5112e-01 2.5313e-01 2.9800e-01
ipm_noregion 9 0 MPI_File_open 0 2 3.0348e-01 5.4832e-03 2.9799e-01
ipm_noregion 11 0 MPI_File_open 0 2 3.0060e-01 2.6062e-03 2.9800e-01
ipm_noregion 10 0 MPI_File_open 0 2 3.0309e-01 5.0991e-03 2.9799e-01
ipm_noregion 7 0 MPI_File_open 0 2 3.7333e-01 7.5344e-02 2.9799e-01
ipm_noregion 1 0 MPI_File_open 0 2 3.4073e-01 4.2746e-02 2.9798e-01
ipm_noregion 4 0 MPI_File_open 0 2 4.0288e-01 1.0489e-01 2.9799e-01
ipm_noregion 0 0 MPI_File_open 0 2 3.4305e-01 4.5063e-02 2.9798e-01
ipm_noregion 2 0 MPI_File_open 0 2 3.4476e-01 4.6773e-02 2.9798e-01
ipm_noregion 10 0 MPI_File_write_at 178956628 1 3.0069e+00 3.0069e+00 3.0069e+00
ipm_noregion 11 0 MPI_File_write_at 178956628 1 6.4936e-01 6.4936e-01 6.4936e-01
ipm_noregion 5 0 MPI_File_write_at 178956628 1 3.0069e+00 3.0069e+00 3.0069e+00
ipm_noregion 8 0 MPI_File_write_at 178956628 1 3.0068e+00 3.0068e+00 3.0068e+00
ipm_noregion 9 0 MPI_File_write_at 178956628 1 9.2053e-01 9.2053e-01 9.2053e-01
ipm_noregion 6 0 MPI_File_write_at 178956628 1 3.2283e-01 3.2283e-01 3.2283e-01
ipm_noregion 4 0 MPI_File_write_at 178956628 1 3.1839e+00 3.1839e+00 3.1839e+00
ipm_noregion 7 0 MPI_File_write_at 178956628 1 2.0355e+00 2.0355e+00 2.0355e+00
ipm_noregion 3 0 MPI_File_write_at 178956632 1 1.1219e+00 1.1219e+00 1.1219e+00
ipm_noregion 0 0 MPI_File_write_at 178956632 1 1.0897e+00 1.0897e+00 1.0897e+00
ipm_noregion 1 0 MPI_File_write_at 178956632 1 2.0360e+00 2.0360e+00 2.0360e+00
ipm_noregion 2 0 MPI_File_write_at 178956632 1 3.1839e+00 3.1839e+00 3.1839e+00
ipm_noregion 0 0 MPI_File_close 0 2 2.0987e+00 4.3480e-03 2.0944e+00
ipm_noregion 4 0 MPI_File_close 0 2 2.1980e-03 4.2915e-05 2.1551e-03
ipm_noregion 1 0 MPI_File_close 0 2 1.1487e+00 7.4410e-04 1.1480e+00
ipm_noregion 2 0 MPI_File_close 0 2 2.3992e-03 1.0204e-04 2.2972e-03
ipm_noregion 7 0 MPI_File_close 0 2 1.1485e+00 5.3883e-05 1.1485e+00
ipm_noregion 10 0 MPI_File_close 0 2 1.7967e-01 2.5671e-03 1.7710e-01
ipm_noregion 11 0 MPI_File_close 0 2 2.5355e+00 7.3004e-04 2.5348e+00
ipm_noregion 3 0 MPI_File_close 0 2 2.0639e+00 1.8020e-03 2.0621e+00
ipm_noregion 8 0 MPI_File_close 0 2 1.7843e-01 1.2531e-03 1.7718e-01
ipm_noregion 5 0 MPI_File_close 0 2 1.7777e-01 6.8688e-04 1.7708e-01
ipm_noregion 9 0 MPI_File_close 0 2 2.2643e+00 7.9894e-04 2.2635e+00
ipm_noregion 6 0 MPI_File_close 0 2 2.8632e+00 2.0249e-03 2.8612e+00
ipm_noregion 4 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Comm_size 0 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 2 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Comm_size 0 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 10 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 8 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 9 0 MPI_Comm_size 0 1 9.5367e-07 9.5367e-07 9.5367e-07
