Task    AppTime    MPITime     MPI%
   0      0.691      0.686    99.35
   1      0.696      0.691    99.28
   2        0.6      0.595    99.27
   3      0.693       0.69    99.43
   4       0.69      0.686    99.46
   5      0.691      0.688    99.52
   6      0.795      0.792    99.57
   7      0.794       0.79    99.55
   8      0.794       0.79    99.49
   9      0.796      0.792    99.44
  10      0.796      0.791    99.38
  11      0.796      0.792    99.48
