Task    AppTime    MPITime     MPI%
   0      0.804      0.802    99.77
   1      0.802        0.8    99.76
   2      0.803      0.801    99.76
   3      0.713      0.711    99.73
   4      0.803      0.801    99.76
   5      0.788      0.786    99.76
   6        1.3        1.3    99.85
   7        1.3        1.3    99.85
   8       1.21        1.2    99.84
   9        1.3        1.3    99.85
  10       2.21        2.2    99.91
  11       1.21       1.21    99.85
