Task    AppTime    MPITime     MPI%
   0       6.81        5.2    76.38
   1       6.71       5.12    76.40
   2       6.81       4.72    69.34
   3        6.7       3.82    57.00
   4        6.8          4    58.86
   5        6.8        3.9    57.28
   6       7.19       4.56    63.44
   7        7.2       4.53    62.98
   8        7.2       5.37    74.62
   9        7.2       5.69    79.06
  10        7.2        5.7    79.11
  11       7.19       5.69    79.13
