Task    AppTime    MPITime     MPI%
   0       7.08       3.76    53.07
   1       7.09       2.88    40.69
   2       7.09       3.12    43.96
   3       6.99       3.88    55.44
   4          7       4.09    58.46
   5       6.99       4.56    65.21
   6        7.1        4.2    59.17
   7          7       3.99    57.02
   8        7.1       3.69    51.98
   9       7.09       3.46    48.86
  10        7.1       3.27    46.08
  11       7.09       3.69    51.99
